year,month,day,num_in_call,num_out_call,num_mis_call,num_in_caller,num_out_caller,num_mis_caller,total_mins_in_call,total_mins_out_call,num_s,num_r,num_mms_s,num_mms_r,num_s_tel,num_r_tel,total_char_s,total_char_r,text_reciprocity_incoming,text_reciprocity_outgoing
2021,6,2,0,0,0,0,0,0,0.0,0.0,2,10,0,0,1,3,16,396,4,0
2021,6,3,1,0,1,1,0,1,0.11666666666666667,0.0,2,23,0,0,1,6,18,1341,19,0
2021,6,4,0,4,0,0,2,0,0.0,4.233333333333333,8,27,0,0,2,4,183,1250,9,0
2021,6,5,2,0,0,1,0,0,0.31666666666666665,0.0,0,5,0,0,0,3,0,230,5,0
2021,6,6,0,0,0,0,0,0,0.0,0.0,1,3,0,0,1,1,10,189,0,0
2021,6,7,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
2021,6,8,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
2021,6,9,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
2021,6,10,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
2021,6,11,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
2021,6,12,1,2,1,1,2,1,0.4666666666666667,0.15,0,7,0,0,0,2,0,422,7,0
2021,6,13,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
2021,6,14,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
2021,6,15,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
2021,6,16,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
2021,6,17,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
2021,6,18,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
2021,6,19,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
2021,6,20,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
2021,6,21,0,0,0,0,0,0,0.0,0.0,0,8,0,0,0,2,0,401,8,0
2021,6,22,0,0,0,0,0,0,0.0,0.0,0,11,0,0,0,3,0,639,11,0
2021,6,23,0,0,0,0,0,0,0.0,0.0,0,16,0,0,0,2,0,997,16,0
